2020-03-06,1,378,1,0,0
2020-03-07,3,66,2,0,0
2020-03-08,5,76,2,0,0
2020-03-09,7,69,2,0,0
2020-03-10,7,111,0,0,0
2020-03-11,10,97,3,0,0
2020-03-12,21,95,11,0,0
2020-03-13,32,58,11,0,0
2020-03-14,44,197,12,0,0
2020-03-15,61,289,17,0,0
2020-03-16,72,159,11,0,0
2020-03-17,96,318,24,0,0
2020-03-18,104,225,8,0,0
2020-03-19,123,301,19,0,0
2020-03-20,137,368,14,0,0
2020-03-21,178,440,41,0,0
2020-03-22,185,242,7,0,0
2020-03-23,204,451,19,0,0
2020-03-24,216,476,12,0,0
2020-03-25,226,335,10,0,0
2020-03-26,269,913,43,0,0
2020-03-27,292,747,23,0,0
2020-03-28,314,720,22,0,0
2020-03-29,336,401,22,0,0
2020-03-30,363,688,27,0,0
2020-03-31,400,877,37,0,0
2020-04-01,426,1191,26,0,0
2020-04-02,450,1454,24,0,0
2020-04-03,471,1889,21,0,0
2020-04-04,485,1524,14,0,0
2020-04-05,534,1036,49,0,0
2020-04-06,581,1448,47,0,0
2020-04-07,682,2042,101,0,0
2020-04-08,701,1690,19,0,0
2020-04-09,715,2301,14,0,0
2020-04-10,728,2174,13,0,0
2020-04-11,742,1580,14,0,0
2020-04-12,769,1324,27,0,0
2020-04-13,835,1302,66,0,0
2020-04-14,863,1439,28,0,0
2020-04-15,977,2967,114,0,0
2020-04-16,1049,3351,72,0,0
2020-04-17,1089,3144,40,0,0
2020-04-18,1161,3323,72,0,0
2020-04-19,1173,2458,12,0,0
2020-04-20,1199,2694,26,0,0
2020-04-21,1244,3468,45,0,0
2020-04-22,1325,4525,81,0,0
2020-04-23,1360,3840,35,0,0
2020-04-24,1373,4828,13,0,0
2020-04-25,1379,4839,6,0,0
2020-04-26,1381,3171,2,0,0
2020-04-27,1384,1767,3,0,0
2020-04-28,1391,5472,7,0,0
2020-04-29,1396,4584,5,0,0
2020-04-30,1403,5150,7,0,0
2020-05-01,1407,3698,4,0,0
2020-05-02,1408,1450,1,0,0
2020-05-03,1413,1584,5,0,0
2020-05-04,1421,2060,8,0,0
2020-05-05,1429,4742,8,0,0
2020-05-06,1445,5161,16,0,0
2020-05-07,1455,4694,10,0,0
2020-05-08,1455,3910,0,0,0
2020-05-09,1457,1488,2,0,0
2020-05-10,1457,786,0,0,0
2020-05-11,1465,2063,8,0,0
2020-05-12,1469,4326,4,0,0
2020-05-13,1477,4876,8,0,0
2020-05-14,1480,3992,3,0,0
2020-05-15,1493,4084,13,0,0
2020-05-16,1494,2476,1,0,0
2020-05-17,1495,971,1,0,0
2020-05-18,1495,2041,0,0,0
2020-05-19,1496,3371,1,0,0
2020-05-20,1502,2933,6,0,0
2020-05-21,1503,2751,1,0,0
2020-05-22,1504,2236,1,0,0
2020-05-23,1509,1649,5,0,0
2020-05-24,1511,645,2,0,0
2020-05-25,1513,1464,2,0,0
2020-05-26,1515,2839,2,0,0
2020-05-27,1520,2352,5,0,0
2020-05-28,1520,1848,0,0,0
2020-05-29,1521,3433,1,0,0
2020-05-30,1521,1606,0,0,0
2020-05-31,1522,274,1,0,0
2020-06-01,1522,6418,0,0,0
2020-06-02,1525,2336,3,0,0
2020-06-03,1526,2135,1,0,0
2020-06-04,1526,1832,0,0,0
2020-06-05,1528,2639,2,0,0
2020-06-06,1528,1180,0,0,0
2020-06-07,1530,160,2,0,0
2020-06-08,1531,851,1,0,0
2020-06-09,1533,1545,2,0,0
2020-06-10,1541,1500,8,0,0
2020-06-11,1542,1262,1,0,0
2020-06-12,1545,1511,3,0,0
2020-06-13,1548,479,3,0,0
2020-06-14,1552,47,4,0,0
2020-06-15,1552,847,0,0,0
2020-06-16,1561,1163,9,0,0
2020-06-17,1562,787,1,0,0
2020-06-18,1576,806,14,0,0
2020-06-19,1586,1278,10,0,0
2020-06-20,1587,301,1,0,0
2020-06-21,1588,41,1,0,0
2020-06-22,1589,661,1,0,0
2020-06-23,1607,1257,18,0,0
2020-06-24,1630,936,23,0,0
2020-06-25,1643,1515,13,0,0
2020-06-26,1657,1611,14,0,0
2020-06-27,1664,931,7,0,0
2020-06-28,1665,62,1,0,0
2020-06-29,1667,784,2,0,0
2020-06-30,1687,2063,20,0,0
2020-07-01,1700,1708,13,0,0
2020-07-02,1720,1801,20,0,0
2020-07-03,1749,2216,29,0,0
2020-07-04,1764,808,15,0,0
2020-07-05,1765,50,1,0,0
2020-07-06,1767,873,2,0,0
2020-07-07,1798,2225,31,0,0
2020-07-08,1851,2284,53,0,0
2020-07-09,1870,2172,19,0,0
2020-07-10,1893,2879,23,0,0
2020-07-11,1901,960,8,0,0
2020-07-12,1902,279,1,0,0
2020-07-13,1908,1163,6,0,0
2020-07-14,1927,2205,19,0,0
2020-07-15,1951,2336,24,0,0
2020-07-16,1965,1862,14,0,0
2020-07-17,1976,2161,11,0,0
2020-07-18,1979,410,3,0,0
2020-07-19,1980,24,1,0,0
2020-07-20,2021,3333,41,0,0
2020-07-21,2058,2571,37,0,0
2020-07-22,2089,2251,31,0,0
2020-07-23,2118,2049,29,0,0
2020-07-24,2141,2275,23,0,0
2020-07-25,2179,767,38,0,0
2020-07-26,2181,216,2,0,0
2020-07-27,2204,1548,23,0,0
2020-07-28,2245,2296,41,0,0
2020-07-29,2265,1851,20,0,0
2020-07-30,2292,2176,27,0,0
2020-07-31,2337,2884,45,0,0
2020-08-01,2344,585,7,0,0
2020-08-02,2354,766,10,0,0
2020-08-03,2368,1320,14,0,0
2020-08-04,2417,2538,49,0,0
2020-08-05,2480,2667,63,0,0
2020-08-06,2523,2473,43,0,0
2020-08-07,2566,3099,43,0,0
2020-08-08,2596,1068,30,0,0
2020-08-09,2599,564,3,0,0
2020-08-10,2615,1454,16,0,0
2020-08-11,2690,3131,75,0,0
2020-08-12,2739,2741,49,0,0
2020-08-13,2801,2738,62,0,0
2020-08-14,2855,3235,54,0,0
2020-08-15,2902,2013,47,0,0
2020-08-16,2907,481,5,0,0
2020-08-17,2922,1583,15,0,0
2020-08-18,3022,3684,100,0,0
2020-08-19,3102,3435,80,0,0
2020-08-20,3225,3245,123,0,0
2020-08-21,3316,3833,91,0,0
2020-08-22,3356,1723,40,0,0
2020-08-23,3424,929,68,0,0
2020-08-24,3452,2103,28,0,0
2020-08-25,3536,4090,84,0,0
2020-08-26,3626,3636,90,0,0
2020-08-27,3728,4360,102,0,0
2020-08-28,3842,4453,114,0,0
2020-08-29,3876,1951,34,0,0
2020-08-30,3917,588,41,0,0
2020-08-31,3989,2763,72,0,0
2020-09-01,4042,2428,53,0,0
2020-09-02,4163,3519,121,0,0
2020-09-03,4300,4772,137,0,0
2020-09-04,4526,5947,226,0,0
2020-09-05,4614,2462,88,0,0
2020-09-06,4636,922,22,0,0
2020-09-07,4727,2891,91,0,0
2020-09-08,4888,5309,161,0,0
2020-09-09,5066,5021,178,0,0
2020-09-10,5252,4266,186,0,0
2020-09-11,5453,6191,201,0,0
2020-09-12,5532,3080,79,0,0
2020-09-13,5580,1425,48,0,0
2020-09-14,5768,4323,188,0,0
2020-09-15,5860,3235,92,0,0
2020-09-16,6021,4027,161,0,0
2020-09-17,6256,5542,235,0,0
2020-09-18,6546,5750,290,0,0
2020-09-19,6677,3443,131,0,0
2020-09-20,6756,1952,79,0,0
2020-09-21,6931,2664,175,0,0
2020-09-22,7269,6231,338,0,0
2020-09-23,7629,5213,360,0,0
2020-09-24,8048,5540,419,0,0
